TWTR,date,closing,avg
AMZN,Fri Apr 17 00:00:00 CEST 2015,80.779999,250.18978515343179
FB,Fri Apr 17 00:00:00 CEST 2015,80.779999,301.77793119877043
MSFT,Fri Apr 17 00:00:00 CEST 2015,80.779999,92.61922102597408
TWTR,Fri Apr 17 00:00:00 CEST 2015,80.779999,68.84736842105264
GOOG,Fri Mar 18 00:00:00 CET 2016,53.490002,346.55288354876865
AAPL,Fri Mar 18 00:00:00 CET 2016,53.490002,346.55288354876865
AMZN,Fri Mar 18 00:00:00 CET 2016,53.490002,249.92540372446214
FB,Fri Mar 18 00:00:00 CET 2016,53.490002,301.27018492229035
MSFT,Fri Mar 18 00:00:00 CET 2016,53.490002,92.45056059913799
TWTR,Fri Mar 18 00:00:00 CET 2016,53.490002,68.0795001
GOOG,Thu Apr 16 00:00:00 CEST 2015,82.309998,346.29280196850414
AAPL,Thu Apr 16 00:00:00 CEST 2015,82.309998,346.29280196850414
AMZN,Thu Apr 16 00:00:00 CEST 2015,82.309998,249.70041660268436
FB,Thu Apr 16 00:00:00 CEST 2015,82.309998,300.8233273979592
MSFT,Thu Apr 16 00:00:00 CEST 2015,82.309998,92.4070388712447
TWTR,Thu Apr 16 00:00:00 CEST 2015,82.309998,68.75714285714287
GOOG,Thu Mar 17 00:00:00 CET 2016,54.66,346.0060440511309
AAPL,Thu Mar 17 00:00:00 CET 2016,54.66,346.0060440511309
AMZN,GOOG,Thu Mar 17 00:00:00 CET 2016,54.66,249.4389683230561
Wed Apr 15 00:00:00 CEST 2015,82.709999,345.7474035353636
FB,Thu Mar 17 00:00:00 CET 2016,54.66,300.32197642566194
AAPL,Wed Apr 15 00:00:00 CEST 2015,82.709999,345.7474035353636
MSFT,Thu Mar 17 00:00:00 CET 2016,54.66,92.2457267393163
TWTR,Thu Mar 17 00:00:00 CET 2016,54.66,68.11636363636364
AMZN,Wed Apr 15 00:00:00 CEST 2015,82.709999,249.2157702382863
FB,Wed Apr 15 00:00:00 CEST 2015,82.709999,299.8796756585366
MSFT,GOOG,Wed Apr 15 00:00:00 CEST 2015,82.709999,92.20514917446813Wed Mar 16 00:00:00 CET 2016
,54.349998,345.46143944749775
TWTR,Wed Apr 15 00:00:00 CEST 2015,82.709999,68.75086952173913
AAPL,Wed Mar 16 00:00:00 CET 2016,54.349998,345.46143944749775
AMZN,Wed Mar 16 00:00:00 CET 2016,54.349998,248.9552544999998
FB,Wed Mar 16 00:00:00 CET 2016,54.349998,299.3816438580122
MSFT,Wed Mar 16 00:00:00 CET 2016,54.349998,92.04474599152547
GOOG,Tue Apr 14 00:00:00 CEST 2015,83.519997,345.2046341117649
AAPL,Tue Apr 14 00:00:00 CEST 2015,83.519997,345.2046341117649
AMZN,Tue Apr 14 00:00:00 CEST 2015,83.519997,248.73437965687563
FB,Tue Apr 14 00:00:00 CEST 2015,83.519997,298.94467696153845
MSFT,Tue Apr 14 00:00:00 CEST 2015,83.519997,92.00877658649794
TWTR,Wed Mar 16 00:00:00 CET 2016,54.349998,68.15083320833334
GOOG,Tue Mar 15 00:00:00 CET 2016,53.59,344.91901742801195
AAPL,Tue Mar 15 00:00:00 CET 2016,53.59,344.91901742801195
AMZN,Tue Mar 15 00:00:00 CET 2016,53.59,248.47418715066644
FB,Tue Mar 15 00:00:00 CET 2016,53.59,298.44901094747473
MSFT,Tue Mar 15 00:00:00 CET 2016,53.59,91.84735315546223
TWTR,Tue Apr 14 00:00:00 CEST 2015,83.519997,68.76559976
GOOG,Mon Apr 13 00:00:00 CEST 2015,83.010002,344.6627463757341
AAPL,Mon Apr 13 00:00:00 CEST 2015,83.010002,344.6627463757341
AMZN,Mon Apr 13 00:00:00 CEST 2015,83.010002,248.25386200399444
FB,Mon Apr 13 00:00:00 CEST 2015,83.010002,298.0146581068548
MSFT,Mon Apr 13 00:00:00 CEST 2015,83.010002,91.81037679079502
TWTR,Tue Mar 15 00:00:00 CET 2016,53.59,68.18192284615385
TWTR,Mon Apr 13 00:00:00 CEST 2015,83.010002,68.73111096296296
GOOG,Mon Mar 14 00:00:00 CET 2016,53.169998,344.37780722776176
AAPL,Mon Mar 14 00:00:00 CET 2016,53.169998,344.37780722776176
AMZN,Mon Mar 14 00:00:00 CET 2016,53.169998,247.99444197207424
FB,Mon Mar 14 00:00:00 CET 2016,53.169998,297.52201291549295
MSFT,Mon Mar 14 00:00:00 CET 2016,53.169998,91.64937521250005
TWTR,Mon Mar 14 00:00:00 CET 2016,53.169998,68.17535692857143
GOOG,Fri Apr 10 00:00:00 CEST 2015,82.040001,344.12161796386744
AAPL,Fri Apr 10 00:00:00 CEST 2015,82.040001,344.12161796386744
AMZN,Fri Apr 10 00:00:00 CEST 2015,82.040001,247.77405094820693
FB,Fri Apr 10 00:00:00 CEST 2015,82.040001,297.08931811244975
MSFT,Fri Apr 10 00:00:00 CEST 2015,82.040001,91.60950229045649
TWTR,Fri Apr 10 00:00:00 CEST 2015,82.040001,68.65344810344828
GOOG,Fri Mar 11 00:00:00 CET 2016,53.07,343.83766516585393
AAPL,Fri Mar 11 00:00:00 CET 2016,53.07,343.83766516585393
GOOG,Thu Apr 09 00:00:00 CEST 2015,82.169998,343.58262845321667
AMZN,Fri Mar 11 00:00:00 CET 2016,53.07,247.51582276392548
AAPL,Thu Apr 09 00:00:00 CEST 2015,82.169998,343.58262845321667
FB,Fri Mar 11 00:00:00 CET 2016,53.07,296.6003014428857
MSFT,Fri Mar 11 00:00:00 CET 2016,53.07,91.45024814876038
AMZN,Thu Apr 09 00:00:00 CEST 2015,82.169998,247.29682167152293
TWTR,Fri Mar 11 00:00:00 CET 2016,53.07,68.13399983333333
