GOOG,date,closing,avg
GOOG,Mon Oct 19 00:00:00 CEST 2015,666.099976,725.4652996837608
GOOG,Fri Oct 16 00:00:00 CEST 2015,662.200012,724.9291531779662
GOOG,Thu Oct 15 00:00:00 CEST 2015,661.73999,724.3981518067228
GOOG,Wed Oct 14 00:00:00 CEST 2015,651.159973,723.7878336500002
GOOG,Tue Oct 13 00:00:00 CEST 2015,652.299988,723.1970250082646
GOOG,Mon Oct 12 00:00:00 CEST 2015,646.669983,722.5697541721313
GOOG,Fri Oct 09 00:00:00 CEST 2015,643.609985,721.9278048292684
GOOG,Thu Oct 08 00:00:00 CEST 2015,639.159973,721.2603223145163
GOOG,Wed Oct 07 00:00:00 CEST 2015,642.359985,720.6291196160003
GOOG,Tue Oct 06 00:00:00 CEST 2015,645.440002,720.0323805873019
GOOG,Mon Oct 05 00:00:00 CEST 2015,641.469971,719.4137789370081
GOOG,Fri Oct 02 00:00:00 CEST 2015,626.909973,718.6910929531252
GOOG,Thu Oct 01 00:00:00 CEST 2015,611.289978,717.8585261705429
GOOG,Wed Sep 30 00:00:00 CEST 2015,608.419983,717.0166912230771
GOOG,Tue Sep 29 00:00:00 CEST 2015,594.969971,716.0850368702293
GOOG,Mon Sep 28 00:00:00 CEST 2015,594.890015,715.1668927651517
GOOG,Fri Sep 25 00:00:00 CEST 2015,611.969971,714.3909760601506
GOOG,Thu Sep 24 00:00:00 CEST 2015,625.799988,713.7298492835822
GOOG,Wed Sep 23 00:00:00 CEST 2015,622.359985,713.0530354740742
GOOG,Tue Sep 22 00:00:00 CEST 2015,622.690002,712.3886014044119
GOOG,Mon Sep 21 00:00:00 CEST 2015,635.440002,711.8269327956207
GOOG,Fri Sep 18 00:00:00 CEST 2015,629.25,711.228549224638
GOOG,Thu Sep 17 00:00:00 CEST 2015,642.900024,710.7369771007196
GOOG,Wed Sep 16 00:00:00 CEST 2015,635.97998,710.2029985500003
GOOG,Tue Sep 15 00:00:00 CEST 2015,635.140015,709.6706369645393
GOOG,Mon Sep 14 00:00:00 CEST 2015,623.23999,709.06197043662
GOOG,Fri Sep 11 00:00:00 CEST 2015,625.77002,708.4795092447555
GOOG,Thu Sep 10 00:00:00 CEST 2015,621.349976,707.8744430416668
GOOG,Wed Sep 09 00:00:00 CEST 2015,612.719971,707.2182053034485
GOOG,Tue Sep 08 00:00:00 CEST 2015,614.659973,706.5842448082194
GOOG,Fri Sep 04 00:00:00 CEST 2015,600.700012,705.8639439047621
GOOG,Thu Sep 03 00:00:00 CEST 2015,606.25,705.1908767162164
GOOG,Wed Sep 02 00:00:00 CEST 2015,614.340027,704.5811394697988
GOOG,Tue Sep 01 00:00:00 CEST 2015,597.789978,703.8691983933336
GOOG,Mon Aug 31 00:00:00 CEST 2015,618.25,703.3021838344373
GOOG,Fri Aug 28 00:00:00 CEST 2015,630.380005,702.822432657895
GOOG,Thu Aug 27 00:00:00 CEST 2015,637.609985,702.3962075098042
GOOG,Wed Aug 26 00:00:00 CEST 2015,628.619995,701.9171411948054
GOOG,Tue Aug 25 00:00:00 CEST 2015,582.059998,701.143869303226
GOOG,Mon Aug 24 00:00:00 CEST 2015,589.609985,700.4289085064105
GOOG,Fri Aug 21 00:00:00 CEST 2015,612.47998,699.868724248408
GOOG,Thu Aug 20 00:00:00 CEST 2015,646.830017,699.5330362278484
GOOG,Wed Aug 19 00:00:00 CEST 2015,660.900024,699.2900613081764
GOOG,Tue Aug 18 00:00:00 CEST 2015,656.130005,699.0203109562502
GOOG,Mon Aug 17 00:00:00 CEST 2015,660.869995,698.78335247205
GOOG,Fri Aug 14 00:00:00 CEST 2015,657.119995,698.5261712530867
GOOG,Thu Aug 13 00:00:00 CEST 2015,656.450012,698.2680353067487
GOOG,Wed Aug 12 00:00:00 CEST 2015,659.559998,698.0320106890247
GOOG,Tue Aug 11 00:00:00 CEST 2015,660.780029,697.8062411030305
GOOG,Mon Aug 10 00:00:00 CEST 2015,633.72998,697.4202395301207
GOOG,Fri Aug 07 00:00:00 CEST 2015,635.299988,697.0482619760481
GOOG,Thu Aug 06 00:00:00 CEST 2015,642.679993,696.7246413273812
GOOG,Wed Aug 05 00:00:00 CEST 2015,643.780029,696.4113595976333
GOOG,Tue Aug 04 00:00:00 CEST 2015,629.25,696.0162927764709
GOOG,Mon Aug 03 00:00:00 CEST 2015,631.210022,695.6373087368423
GOOG,Wed Apr 06 00:00:00 CEST 2016,110.959999,692.2380220523258
GOOG,Fri Jul 31 00:00:00 CEST 2015,625.609985,691.8528888901736
GOOG,Tue Apr 05 00:00:00 CEST 2016,109.809998,688.507814804598
GOOG,Thu Jul 30 00:00:00 CEST 2015,632.590027,688.1882845885716
GOOG,Mon Apr 04 00:00:00 CEST 2016,111.120003,684.9094875340911
GOOG,Wed Jul 29 00:00:00 CEST 2015,631.929993,684.6101683559324
GOOG,Fri Apr 01 00:00:00 CEST 2016,109.989998,681.3819651516857
GOOG,Tue Jul 28 00:00:00 CEST 2015,628.0,681.0837418826818
GOOG,Thu Mar 31 00:00:00 CEST 2016,108.989998,677.9054433055559
GOOG,Mon Jul 27 00:00:00 CEST 2015,627.26001,677.6256342817683
GOOG,Wed Mar 30 00:00:00 CEST 2016,109.559998,674.5043945219783
GOOG,Fri Jul 24 00:00:00 CEST 2015,623.559998,674.2260098415303
GOOG,Tue Mar 29 00:00:00 CEST 2016,107.68,671.1469554402175
GOOG,Thu Jul 23 00:00:00 CEST 2015,644.280029,671.001728810811
GOOG,Mon Mar 28 00:00:00 CEST 2016,105.190002,667.9597302795701
GOOG,Wed Jul 22 00:00:00 CEST 2015,662.099976,667.9283946951874
GOOG,Thu Mar 24 00:00:00 CET 2016,105.669998,664.9376585425533
GOOG,Tue Jul 21 00:00:00 CEST 2015,662.299988,664.9237026137567
GOOG,Wed Mar 23 00:00:00 CET 2016,106.129997,661.9826831105265
GOOG,Mon Jul 20 00:00:00 CEST 2015,663.02002,661.9881141937174
GOOG,Tue Mar 22 00:00:00 CET 2016,106.720001,659.0960927708335
GOOG,Fri Jul 17 00:00:00 CEST 2015,672.929993,659.1677710103628
GOOG,Mon Mar 21 00:00:00 CET 2016,105.910004,656.3159268505156
GOOG,Thu Jul 16 00:00:00 CEST 2015,579.849976,655.9237937692309
GOOG,Fri Mar 18 00:00:00 CET 2016,105.919998,653.1176519540817
GOOG,Wed Jul 15 00:00:00 CEST 2015,560.219971,652.6460901218275
GOOG,Thu Mar 17 00:00:00 CET 2016,105.800003,649.8842411969698
GOOG,Tue Jul 14 00:00:00 CEST 2015,561.099976,649.4380891105528
GOOG,Wed Mar 16 00:00:00 CET 2016,105.970001,646.72074867
GOOG,Mon Jul 13 00:00:00 CEST 2015,546.549988,646.2223866766169
GOOG,Tue Mar 15 00:00:00 CET 2016,104.580002,643.5409887326733
GOOG,Fri Jul 10 00:00:00 CEST 2015,530.130005,642.9823139359606
GOOG,Mon Mar 14 00:00:00 CET 2016,102.519997,640.3329888529412
GOOG,Thu Jul 09 00:00:00 CEST 2015,520.679993,639.749315702439
GOOG,Fri Mar 11 00:00:00 CET 2016,102.260002,637.1401442766991
GOOG,Wed Jul 08 00:00:00 CEST 2015,516.830017,636.5589359323671
GOOG,Thu Mar 10 00:00:00 CET 2016,101.169998,633.9849506538461
GOOG,Tue Jul 07 00:00:00 CEST 2015,525.02002,633.4635873492822
GOOG,Wed Mar 09 00:00:00 CET 2016,101.120003,630.9286179
GOOG,Mon Jul 06 00:00:00 CEST 2015,522.859985,630.4164442843601
GOOG,Tue Mar 08 00:00:00 CET 2016,101.029999,627.9193384103771
GOOG,Thu Jul 02 00:00:00 CEST 2015,523.400024,627.4286374037557
GOOG,Mon Mar 07 00:00:00 CET 2016,101.870003,624.9727559345793
GOOG,Wed Jul 01 00:00:00 CEST 2015,521.840027,624.4930688232556
GOOG,Fri Mar 04 00:00:00 CET 2016,103.010002,622.0787953657405
GOOG,Tue Jun 30 00:00:00 CEST 2015,520.51001,621.6107364470043
GOOG,Thu Mar 03 00:00:00 CET 2016,101.5,619.2249073807337
GOOG,Mon Jun 29 00:00:00 CEST 2015,521.52002,618.7787663424655
GOOG,Wed Mar 02 00:00:00 CET 2016,100.75,616.4240901318179
GOOG,Fri Jun 26 00:00:00 CEST 2015,531.690002,616.0406779683254
GOOG,Tue Mar 01 00:00:00 CET 2016,100.529999,613.7185577927925
GOOG,Thu Jun 25 00:00:00 CEST 2015,535.22998,613.3665910762328
GOOG,Mon Feb 29 00:00:00 CET 2016,96.690002,611.0599991607139
GOOG,Wed Jun 24 00:00:00 CEST 2015,537.840027,610.7345770622218
GOOG,Fri Feb 26 00:00:00 CET 2016,96.910004,608.4610170044244
GOOG,Tue Jun 23 00:00:00 CEST 2015,540.47998,608.1615410704842
GOOG,Thu Feb 25 00:00:00 CET 2016,96.760002,605.9185518640347
GOOG,Mon Jun 22 00:00:00 CEST 2015,538.190002,605.6227940043664
GOOG,Wed Feb 24 00:00:00 CET 2016,96.099998,603.4074774999996
GOOG,Fri Jun 19 00:00:00 CEST 2015,536.690002,603.1186572597397
GOOG,Tue Feb 23 00:00:00 CET 2016,94.690002,600.9271544353443
GOOG,Thu Jun 18 00:00:00 CEST 2015,536.72998,600.6516300815446
GOOG,Mon Feb 22 00:00:00 CET 2016,96.879997,598.4987598547003
GOOG,Wed Jun 17 00:00:00 CEST 2015,529.26001,598.2041268765952
GOOG,Fri Feb 19 00:00:00 CET 2016,96.040001,596.0763127838977
GOOG,Tue Jun 16 00:00:00 CEST 2015,528.150024,595.7897039704636
GOOG,Thu Feb 18 00:00:00 CET 2016,96.260002,593.69083967647
GOOG,Mon Jun 15 00:00:00 CEST 2015,527.200012,593.4126353765685
GOOG,Wed Feb 17 00:00:00 CET 2016,98.120003,591.3489160749994
GOOG,Fri Jun 12 00:00:00 CEST 2015,532.330017,591.1040243775927
GOOG,Tue Feb 16 00:00:00 CET 2016,96.639999,589.0607846033051
GOOG,Thu Jun 11 00:00:00 CEST 2015,534.609985,588.8367072386825
GOOG,Fri Feb 12 00:00:00 CET 2016,93.989998,586.8086469549173
GOOG,Wed Jun 10 00:00:00 CEST 2015,536.690002,586.6040810571421
GOOG,Thu Feb 11 00:00:00 CET 2016,93.699997,584.6004059186985
GOOG,Tue Jun 09 00:00:00 CEST 2015,526.690002,584.3659508421044
GOOG,Wed Feb 10 00:00:00 CET 2016,94.269997,582.389757479838
GOOG,Mon Jun 08 00:00:00 CEST 2015,526.830017,582.1666259919671
GOOG,Tue Feb 09 00:00:00 CET 2016,94.989998,580.2179194799992
GOOG,Fri Jun 05 00:00:00 CEST 2015,533.330017,580.0311150876487
GOOG,Mon Feb 08 00:00:00 CET 2016,95.010002,578.1064281309516
GOOG,Thu Jun 04 00:00:00 CEST 2015,536.700012,577.9427664071138
GOOG,Fri Feb 05 00:00:00 CET 2016,94.019997,576.0375586535424
GOOG,Wed Jun 03 00:00:00 CEST 2015,540.309998,575.8974505725482
GOOG,Thu Feb 04 00:00:00 CET 2016,96.599998,574.0251948984367
GOOG,Tue Jun 02 00:00:00 CEST 2015,539.179993,573.8896104552521
GOOG,Wed Feb 03 00:00:00 CET 2016,96.349998,572.0386817248053
