MSFT,date,closing,avg
MSFT,Tue Oct 13 00:00:00 CEST 2015,548.900024,244.07563535714286
MSFT,Tue Jul 21 00:00:00 CEST 2015,130.75,243.18330751968503
MSFT,Thu Mar 31 00:00:00 CEST 2016,16.549999,241.412734796875
MSFT,Tue Feb 16 00:00:00 CET 2016,101.610001,240.3289926744186
MSFT,Wed Mar 09 00:00:00 CET 2016,52.84,238.88676965384616
MSFT,Mon Oct 12 00:00:00 CEST 2015,550.190002,241.26313020610687
MSFT,Mon Jul 20 00:00:00 CEST 2015,132.070007,240.43590957575756
MSFT,Wed Mar 30 00:00:00 CEST 2016,16.360001,238.75112830827067
MSFT,Fri Feb 12 00:00:00 CET 2016,102.010002,237.73067214179102
MSFT,Tue Mar 08 00:00:00 CET 2016,51.650002,236.35229680740738
MSFT,Fri Oct 09 00:00:00 CEST 2015,539.799988,238.5835298308823
MSFT,Fri Jul 17 00:00:00 CEST 2015,129.619995,237.78817556204376
MSFT,Tue Mar 29 00:00:00 CEST 2016,15.97,236.18079747826084
MSFT,Thu Feb 11 00:00:00 CET 2016,101.910004,235.21482054676258
MSFT,Mon Mar 07 00:00:00 CET 2016,51.029999,233.8992146785714
MSFT,Thu Oct 08 00:00:00 CEST 2015,533.159973,236.02163140425532
MSFT,Thu Jul 16 00:00:00 CEST 2015,128.509995,235.26450720422534
MSFT,Mon Mar 28 00:00:00 CEST 2016,15.6,233.72839176923074
MSFT,Wed Feb 10 00:00:00 CET 2016,101.0,232.80666682638886
MSFT,Fri Mar 04 00:00:00 CET 2016,52.029999,231.55993118620685
MSFT,Wed Oct 07 00:00:00 CEST 2015,541.940002,233.68582208219178
MSFT,Wed Jul 15 00:00:00 CEST 2015,126.82,232.95884370068026
MSFT,Thu Mar 24 00:00:00 CET 2016,15.91,231.49229745945948
MSFT,Tue Feb 09 00:00:00 CET 2016,99.540001,230.60671157718122
MSFT,Thu Mar 03 00:00:00 CET 2016,52.349998,229.41833348666668
MSFT,Tue Oct 06 00:00:00 CEST 2015,537.47998,231.4584768410596
MSFT,Tue Jul 14 00:00:00 CEST 2015,125.610001,230.76210528947368
MSFT,Wed Mar 23 00:00:00 CET 2016,16.01,229.35849675816993
MSFT,Mon Feb 08 00:00:00 CET 2016,99.75,228.51688314285715
MSFT,Wed Mar 02 00:00:00 CET 2016,52.950001,227.38419358064513
MSFT,Mon Oct 05 00:00:00 CEST 2015,543.679993,229.41173075641024
MSFT,Mon Jul 13 00:00:00 CEST 2015,125.660004,228.75089173248404
MSFT,Tue Mar 22 00:00:00 CET 2016,16.860001,227.4098101455696
MSFT,Fri Feb 05 00:00:00 CET 2016,104.07,226.63408806918235
MSFT,Tue Mar 01 00:00:00 CET 2016,52.580002,225.54625003124997
MSFT,Fri Oct 02 00:00:00 CEST 2015,532.539978,227.45304337267078
MSFT,Fri Jul 10 00:00:00 CEST 2015,123.279999,226.80999988888885
MSFT,Mon Mar 21 00:00:00 CET 2016,16.889999,225.52214712269935
MSFT,Thu Feb 04 00:00:00 CET 2016,110.489998,224.82073157926823
MSFT,Mon Feb 29 00:00:00 CET 2016,50.880001,223.76654533333326
MSFT,Thu Oct 01 00:00:00 CEST 2015,520.719971,225.5554213915662
MSFT,Thu Jul 09 00:00:00 CEST 2015,120.07,224.92377216167657
MSFT,Fri Mar 18 00:00:00 CET 2016,16.85,223.68523780357134
MSFT,Wed Feb 03 00:00:00 CET 2016,112.690002,223.02846126035496
MSFT,Fri Feb 26 00:00:00 CET 2016,51.299999,222.01829383529406
MSFT,Wed Sep 30 00:00:00 CEST 2015,511.890015,223.71345009941513
MSFT,Wed Jul 08 00:00:00 CEST 2015,122.57,223.12540678488367
MSFT,Thu Mar 17 00:00:00 CET 2016,16.85,221.93306339306352
MSFT,Tue Feb 02 00:00:00 CET 2016,114.610001,221.31626418390798
MSFT,Thu Feb 25 00:00:00 CET 2016,52.099998,220.34931409142848
MSFT,Tue Sep 29 00:00:00 CEST 2015,496.070007,221.91590893749992
MSFT,Tue Jul 07 00:00:00 CEST 2015,125.690002,221.37225974576265
MSFT,Wed Mar 16 00:00:00 CET 2016,16.700001,220.22241559550557
MSFT,Mon Feb 01 00:00:00 CET 2016,115.089996,219.63508364245806
MSFT,Wed Feb 24 00:00:00 CET 2016,51.360001,218.70022207222218
MSFT,Mon Sep 28 00:00:00 CEST 2015,504.059998,220.27679541988945
MSFT,Mon Jul 06 00:00:00 CEST 2015,126.0,219.75879104945048
MSFT,Tue Mar 15 00:00:00 CET 2016,16.190001,218.64639328961744
MSFT,Fri Jan 29 00:00:00 CET 2016,112.209999,218.06793462499994
MSFT,Tue Feb 23 00:00:00 CET 2016,51.18,217.16583768108103
MSFT,Fri Sep 25 00:00:00 CEST 2015,524.25,218.81682780107522
MSFT,Thu Jul 02 00:00:00 CEST 2015,126.440002,218.32283408021388
MSFT,Mon Mar 14 00:00:00 CET 2016,17.120001,217.25260624468083
MSFT,Thu Jan 28 00:00:00 CET 2016,109.110001,216.68042314814812
MSFT,Mon Feb 22 00:00:00 CET 2016,52.650002,215.81710514210525
MSFT,Thu Sep 24 00:00:00 CEST 2015,533.75,217.4816752722513
MSFT,Wed Jul 01 00:00:00 CEST 2015,126.599998,217.00833320312498
MSFT,Fri Mar 11 00:00:00 CET 2016,16.809999,215.971036134715
MSFT,Wed Jan 27 00:00:00 CET 2016,94.449997,215.34463902577318
MSFT,Fri Feb 19 00:00:00 CET 2016,51.82,214.50605113333333
MSFT,Wed Sep 23 00:00:00 CEST 2015,536.070007,216.14668356122448
MSFT,Tue Jun 30 00:00:00 CEST 2015,125.43,215.68619278172588
MSFT,Thu Mar 10 00:00:00 CET 2016,16.610001,214.68075746969697
MSFT,Tue Jan 26 00:00:00 CET 2016,97.339996,214.09110540201007
MSFT,Thu Feb 18 00:00:00 CET 2016,52.189999,213.28159987000004
MSFT,Tue Sep 22 00:00:00 CEST 2015,538.400024,214.89910446766174
MSFT,Mon Jun 29 00:00:00 CEST 2015,124.529999,214.45173265841586
MSFT,Wed Mar 09 00:00:00 CET 2016,17.66,213.48231525615768
MSFT,Mon Jan 25 00:00:00 CET 2016,97.010002,212.9113725441177
MSFT,Wed Feb 17 00:00:00 CET 2016,52.419998,212.12848779024395
MSFT,Mon Sep 21 00:00:00 CEST 2015,548.390015,213.7608253009709
MSFT,Fri Jun 26 00:00:00 CEST 2015,126.75,213.34048314975848
MSFT,Tue Mar 08 00:00:00 CET 2016,18.33,212.40293275000005
MSFT,Fri Jan 22 00:00:00 CET 2016,97.940002,211.85526322488045
MSFT,Tue Feb 16 00:00:00 CET 2016,51.09,211.08971435238098
MSFT,Fri Sep 18 00:00:00 CEST 2015,540.26001,212.64976314691947
MSFT,Thu Jun 25 00:00:00 CEST 2015,127.5,212.24811332075475
MSFT,Mon Mar 07 00:00:00 CET 2016,19.17,211.34164330516435
MSFT,Thu Jan 21 00:00:00 CET 2016,94.160004,210.79406555140187
MSFT,Fri Feb 12 00:00:00 CET 2016,50.5,210.04851175813954
MSFT,Thu Sep 17 00:00:00 CEST 2015,538.869995,211.57083343981483
MSFT,Wed Jun 24 00:00:00 CEST 2015,128.110001,211.1862213087558
MSFT,Fri Mar 04 00:00:00 CET 2016,19.360001,210.30628451834866
MSFT,Wed Jan 20 00:00:00 CET 2016,94.349998,209.77680375799088
MSFT,Thu Feb 11 00:00:00 CET 2016,49.689999,209.0491364636364
MSFT,Wed Sep 16 00:00:00 CEST 2015,527.390015,210.48959292760182
MSFT,Tue Jun 23 00:00:00 CEST 2015,127.029999,210.11364881081082
MSFT,Thu Mar 03 00:00:00 CET 2016,19.309999,209.25802706278026
MSFT,Tue Jan 19 00:00:00 CET 2016,95.260002,208.74910730803572
MSFT,Wed Feb 10 00:00:00 CET 2016,49.709999,208.04226682666666
MSFT,Tue Sep 15 00:00:00 CEST 2015,522.369995,209.4330974823009
MSFT,Mon Jun 22 00:00:00 CEST 2015,127.610001,209.07264331277534
MSFT,Wed Mar 02 00:00:00 CET 2016,18.540001,208.23697382894738
MSFT,Fri Jan 15 00:00:00 CET 2016,94.970001,207.74235822707425
MSFT,Tue Feb 09 00:00:00 CET 2016,49.279999,207.0533914478261
MSFT,Mon Sep 14 00:00:00 CEST 2015,521.380005,208.41411271861472
MSFT,Fri Jun 19 00:00:00 CEST 2015,126.599998,208.0614656724138
MSFT,Tue Mar 01 00:00:00 CET 2016,17.85,207.24510745064376
MSFT,Thu Jan 14 00:00:00 CET 2016,98.370003,206.77982922649574
MSFT,Mon Feb 08 00:00:00 CET 2016,49.41,206.11017037872344
MSFT,Fri Sep 11 00:00:00 CEST 2015,529.440002,207.48021203813562
MSFT,Thu Jun 18 00:00:00 CEST 2015,127.879997,207.14434615189876
MSFT,Mon Feb 29 00:00:00 CET 2016,18.120001,206.35012621428575
MSFT,Wed Jan 13 00:00:00 CET 2016,95.440002,205.88606711715485
MSFT,Fri Feb 05 00:00:00 CET 2016,50.16,205.23720850416672
MSFT,Thu Sep 10 00:00:00 CEST 2015,522.23999,206.55257274273865
MSFT,Wed Jun 17 00:00:00 CEST 2015,127.300003,206.22508278512402
MSFT,Fri Feb 26 00:00:00 CET 2016,17.940001,205.45024705761324
MSFT,Tue Jan 12 00:00:00 CET 2016,99.370003,205.01549195901643
MSFT,Thu Feb 04 00:00:00 CET 2016,52.0,204.3909389306123
MSFT,Wed Sep 09 00:00:00 CEST 2015,516.890015,205.6612603780488
MSFT,Tue Jun 16 00:00:00 CEST 2015,127.599998,205.34522287854253
MSFT,Thu Feb 25 00:00:00 CET 2016,17.59,204.5881453669355
MSFT,Mon Jan 11 00:00:00 CET 2016,97.510002,204.15811266265064
MSFT,Wed Feb 03 00:00:00 CET 2016,52.16,203.55012021200002
MSFT,Tue Sep 08 00:00:00 CEST 2015,517.539978,204.80107582071716
MSFT,Mon Jun 15 00:00:00 CEST 2015,126.919998,204.49202392460322
MSFT,Wed Feb 24 00:00:00 CET 2016,18.0,203.7549013003953
MSFT,Fri Jan 08 00:00:00 CET 2016,97.330002,203.33590563385832
MSFT,Tue Feb 02 00:00:00 CET 2016,53.0,202.74635306274513
MSFT,Fri Sep 04 00:00:00 CEST 2015,499.0,203.9035938710938
MSFT,Fri Jun 12 00:00:00 CEST 2015,127.169998,203.6050195680934
MSFT,Tue Feb 23 00:00:00 CET 2016,18.299999,202.88678305426362
MSFT,Thu Jan 07 00:00:00 CET 2016,97.919998,202.4815058918919
MSFT,Mon Feb 01 00:00:00 CET 2016,54.709999,201.91315394230773
MSFT,Thu Sep 03 00:00:00 CEST 2015,504.720001,203.07333343295022
MSFT,Thu Jun 11 00:00:00 CEST 2015,128.589996,202.78904588549622
MSFT,Mon Feb 22 00:00:00 CET 2016,18.299999,202.0875666197719
MSFT,Wed Jan 06 00:00:00 CET 2016,102.970001,201.7121212954546
MSFT,Fri Jan 29 00:00:00 CET 2016,55.09,201.15883027169815
MSFT,Wed Sep 02 00:00:00 CEST 2015,510.549988,202.32195492481208
MSFT,Wed Jun 10 00:00:00 CEST 2015,128.880005,202.0468914419476
MSFT,Fri Feb 19 00:00:00 CET 2016,18.309999,201.36130602238808
MSFT,Tue Jan 05 00:00:00 CET 2016,102.730003,200.99464690334574
MSFT,Thu Jan 28 00:00:00 CET 2016,52.060001,200.44303710370372
MSFT,Tue Sep 01 00:00:00 CEST 2015,496.540009,201.53564585608856
MSFT,Thu Feb 18 00:00:00 CET 2016,18.43,200.8624633345588
MSFT,Tue Jun 09 00:00:00 CEST 2015,127.419998,200.5934433150183
MSFT,Mon Jan 04 00:00:00 CET 2016,102.220001,200.23441615328466
MSFT,Wed Jan 27 00:00:00 CET 2016,51.220001,199.69254555272727
MSFT,Mon Aug 31 00:00:00 CEST 2015,512.890015,200.82731899275362
MSFT,Wed Feb 17 00:00:00 CET 2016,17.459999,200.16534310830323
MSFT,Mon Jun 08 00:00:00 CEST 2015,127.800003,199.90503612949638
MSFT,Thu Dec 31 00:00:00 CET 2015,104.660004,199.56365608602147
MSFT,Tue Jan 26 00:00:00 CET 2016,52.169998,199.03725016428567
MSFT,Fri Aug 28 00:00:00 CEST 2015,518.01001,200.1723845409252
MSFT,Tue Feb 16 00:00:00 CET 2016,16.360001,199.52056757801412
MSFT,Fri Jun 05 00:00:00 CEST 2015,128.649994,199.27014152296815
MSFT,Wed Dec 30 00:00:00 CET 2015,106.220001,198.94250018309853
MSFT,Mon Jan 25 00:00:00 CET 2016,51.790001,198.42617562456135
MSFT,Thu Aug 27 00:00:00 CEST 2015,518.369995,199.54486030769226
MSFT,Fri Feb 12 00:00:00 CET 2016,15.88,198.9049130592334
MSFT,Thu Jun 04 00:00:00 CEST 2015,129.360001,198.66343767013885
MSFT,Tue Dec 29 00:00:00 CET 2015,107.260002,198.34716280622834
MSFT,Fri Jan 22 00:00:00 CET 2016,52.290001,197.84351742068964
MSFT,Wed Aug 26 00:00:00 CEST 2015,500.769989,198.8845018591065
MSFT,Thu Feb 11 00:00:00 CET 2016,14.31,198.25239740068488
MSFT,Wed Jun 03 00:00:00 CEST 2015,130.119995,198.01986360409552
MSFT,Mon Dec 28 00:00:00 CET 2015,105.93,197.70663277551017
MSFT,Thu Jan 21 00:00:00 CET 2016,50.48,197.20755944406778
MSFT,Tue Aug 25 00:00:00 CEST 2015,466.369995,198.1168919966216
MSFT,Wed Feb 10 00:00:00 CET 2016,14.98,197.50026946464646
MSFT,Tue Jun 02 00:00:00 CEST 2015,129.960007,197.2736242885906
MSFT,Thu Dec 24 00:00:00 CET 2015,105.019997,196.965083729097
MSFT,Wed Jan 20 00:00:00 CET 2016,50.790001,196.47783345333335
MSFT,Mon Aug 24 00:00:00 CEST 2015,463.369995,197.3645183754153
MSFT,Tue Feb 09 00:00:00 CET 2016,14.4,196.75867559933778
MSFT,Mon Jun 01 00:00:00 CEST 2015,130.539993,196.54013209240927
MSFT,Wed Dec 23 00:00:00 CET 2015,104.629997,196.23779612171055
MSFT,Tue Jan 19 00:00:00 CET 2016,50.560001,195.7601640065574
MSFT,Fri Aug 21 00:00:00 CEST 2015,494.470001,196.73633994444447
MSFT,Mon Feb 08 00:00:00 CET 2016,14.9,196.14403916286648
MSFT,Fri May 29 00:00:00 CEST 2015,130.279999,195.9301948766234
MSFT,Tue Dec 22 00:00:00 CET 2015,105.510002,195.63757289320392
MSFT,Fri Jan 15 00:00:00 CET 2016,50.990002,195.17096782580649
MSFT,Thu Aug 20 00:00:00 CEST 2015,515.780029,196.20186512861738
MSFT,Fri Feb 05 00:00:00 CET 2016,15.72,195.62339761217953
MSFT,Thu May 28 00:00:00 CEST 2015,131.779999,195.41942509265178
MSFT,Mon Dec 21 00:00:00 CET 2015,104.769997,195.13073264649685
MSFT,Thu Jan 14 00:00:00 CET 2016,53.110001,194.67987318095243
MSFT,Wed Aug 19 00:00:00 CEST 2015,532.919983,195.7502532753165
MSFT,Thu Feb 04 00:00:00 CET 2016,16.91,195.18608843848585
MSFT,Wed May 27 00:00:00 CEST 2015,132.039993,194.9875158113208
MSFT,Fri Dec 18 00:00:00 CET 2015,104.040001,194.7024138840126
MSFT,Wed Jan 13 00:00:00 CET 2016,51.639999,194.25534383750005
MSFT,Tue Aug 18 00:00:00 CEST 2015,535.02002,195.31691603738324
MSFT,Wed Feb 03 00:00:00 CET 2016,16.559999,194.7617703322982
MSFT,Tue May 26 00:00:00 CEST 2015,129.619995,194.56009300928798
MSFT,Thu Dec 17 00:00:00 CET 2015,106.220001,194.28743840432105
MSFT,Tue Jan 12 00:00:00 CET 2016,52.779999,193.8520308984616
MSFT,Mon Aug 17 00:00:00 CEST 2015,535.219971,194.89917181901845
MSFT,Tue Feb 02 00:00:00 CET 2016,16.08,194.3523241987768
MSFT,Fri May 22 00:00:00 CEST 2015,132.539993,194.16387196951226
MSFT,Wed Dec 16 00:00:00 CET 2015,106.790001,193.89829789361707
MSFT,Mon Jan 11 00:00:00 CET 2016,52.299999,193.469212139394
MSFT,Fri Aug 14 00:00:00 CEST 2015,531.52002,194.4905136737161
MSFT,Mon Feb 01 00:00:00 CET 2016,17.91,193.95864465662657
MSFT,Thu May 21 00:00:00 CEST 2015,131.389999,193.7707508258259
MSFT,Tue Dec 15 00:00:00 CET 2015,104.550003,193.50362283832342
MSFT,Fri Jan 08 00:00:00 CET 2016,52.330002,193.0822090447762
MSFT,Thu Aug 13 00:00:00 CEST 2015,529.659973,194.08392858035722
MSFT,Fri Jan 29 00:00:00 CET 2016,16.799999,193.5578635074185
MSFT,Wed May 20 00:00:00 CEST 2015,130.059998,193.3700000000001
MSFT,Mon Dec 14 00:00:00 CET 2015,104.660004,193.1083185958703
MSFT,Thu Jan 07 00:00:00 CET 2016,52.169998,192.69379412352947
MSFT,Wed Aug 12 00:00:00 CEST 2015,525.909973,193.67096766862176
MSFT,Thu Jan 28 00:00:00 CET 2016,16.49,193.15289466374276
MSFT,Tue May 19 00:00:00 CEST 2015,130.070007,192.96897953935866
MSFT,Fri Dec 11 00:00:00 CET 2015,102.120003,192.70488367732565
MSFT,Wed Jan 06 00:00:00 CET 2016,54.049999,192.30298546086962
MSFT,Tue Aug 11 00:00:00 CEST 2015,527.460022,193.27164741618503
MSFT,Wed Jan 27 00:00:00 CET 2016,16.780001,192.76302595677242
MSFT,Mon May 18 00:00:00 CEST 2015,130.190002,192.58321841666677
MSFT,Thu Dec 10 00:00:00 CET 2015,105.419998,192.333467068768
MSFT,Tue Jan 05 00:00:00 CET 2016,55.049999,191.9412285885715
MSFT,Mon Aug 10 00:00:00 CEST 2015,524.0,192.88726497435906
MSFT,Tue Jan 26 00:00:00 CET 2016,17.01,192.38761365340915
MSFT,Fri May 15 00:00:00 CEST 2015,128.770004,192.20739379603407
MSFT,Wed Dec 09 00:00:00 CET 2015,104.599998,191.95991527683623
MSFT,Mon Jan 04 00:00:00 CET 2016,54.799999,191.57354931549304
MSFT,Fri Aug 07 00:00:00 CEST 2015,522.619995,192.50345506179784
