Date,Open,High,Low,Close,Volume,Adj Close
2016-02-02,17.219999,17.27,16.01,16.08,31719200,16.08
2016-02-01,17.889999,18.77,17.299999,17.91,49860200,17.91
2016-01-29,16.639999,17.07,16.51,16.799999,16817700,16.799999
2016-01-28,17.209999,17.34,16.450001,16.49,16774600,16.49
2016-01-27,17.01,17.620001,16.77,16.780001,16623700,16.780001
2016-01-26,17.219999,17.280001,16.40,17.01,21998100,17.01
2016-01-25,16.799999,17.450001,16.51,17.02,33559400,17.02
2016-01-22,18.290001,18.559999,17.73,17.84,15543100,17.84
2016-01-21,17.440001,18.32,16.799999,17.83,26275000,17.83
2016-01-20,16.16,19.040001,15.48,17.379999,68953800,17.379999
2016-01-19,18.18,18.18,16.43,16.690001,23994100,16.690001
2016-01-15,18.23,18.530001,17.610001,17.940001,24235100,17.940001
2016-01-14,18.549999,19.16,17.27,19.00,37045300,19.00
2016-01-13,19.700001,19.76,18.469999,18.68,35742200,18.68
2016-01-12,19.870001,20.41,19.32,19.620001,14519500,19.620001
2016-01-11,20.120001,20.200001,19.26,19.65,21287900,19.65
2016-01-08,20.51,20.719999,19.60,19.98,21744400,19.98
2016-01-07,21.00,21.48,20.200001,20.26,20631500,20.26
2016-01-06,21.620001,22.18,21.18,21.389999,13941700,21.389999
2016-01-05,22.790001,23.00,21.85,21.92,16821600,21.92
2016-01-04,22.639999,22.84,22.110001,22.559999,15270700,22.559999
2015-12-31,22.17,23.280001,22.15,23.139999,19405600,23.139999
2015-12-30,22.450001,22.940001,22.209999,22.23,15235600,22.23
2015-12-29,22.629999,22.82,22.309999,22.469999,11176700,22.469999
2015-12-28,22.90,23.32,22.50,22.530001,13675000,22.530001
2015-12-24,22.700001,23.059999,22.549999,22.969999,7910500,22.969999
2015-12-23,22.68,22.950001,22.370001,22.67,13074600,22.67
2015-12-22,22.26,22.67,22.09,22.559999,13668000,22.559999
2015-12-21,23.02,23.040001,21.99,22.139999,21157200,22.139999
2015-12-18,23.35,23.440001,22.66,22.99,22091800,22.99
2015-12-17,24.469999,24.75,23.290001,23.309999,17512100,23.309999
2015-12-16,23.959999,24.48,23.799999,24.299999,23971800,24.299999
2015-12-15,24.52,24.690001,23.700001,23.950001,22998200,23.950001
2015-12-14,24.68,24.940001,23.700001,24.92,18053800,24.92
2015-12-11,25.91,26.200001,24.799999,24.84,22861800,24.84
2015-12-10,24.360001,26.25,24.34,25.91,27945200,25.91
2015-12-09,24.98,24.98,24.190001,24.309999,14612000,24.309999
2015-12-08,24.040001,25.10,23.540001,24.99,23543300,24.99
2015-12-07,24.99,25.16,24.129999,24.459999,16809200,24.459999
2015-12-04,25.809999,25.85,25.01,25.02,16473500,25.02
2015-12-03,25.48,26.059999,24.91,25.90,23772400,25.90
2015-12-02,25.309999,25.719999,25.17,25.40,11654300,25.40
2015-12-01,25.389999,25.58,25.00,25.530001,14762800,25.530001
2015-11-30,25.780001,25.82,25.059999,25.40,17159900,25.40
2015-11-27,25.98,26.07,25.67,25.75,4179400,25.75
2015-11-25,25.620001,26.41,25.59,26.059999,13067000,26.059999
2015-11-24,25.17,25.549999,25.02,25.52,10428500,25.52
2015-11-23,26.110001,26.27,25.02,25.200001,18169900,25.200001
2015-11-20,26.32,26.700001,26.030001,26.27,10835300,26.27
2015-11-19,25.940001,26.58,25.93,26.32,14231900,26.32
2015-11-18,25.17,26.09,25.16,25.90,13976000,25.90
2015-11-17,25.540001,25.690001,24.90,25.23,13259000,25.23
2015-11-16,25.33,25.780001,25.00,25.41,12262800,25.41
2015-11-13,25.889999,26.16,25.16,25.18,14333800,25.18
2015-11-12,26.08,26.610001,25.85,26.129999,12580200,26.129999
2015-11-11,27.08,27.139999,26.370001,26.50,12777200,26.50
2015-11-10,26.809999,27.17,26.25,27.049999,16552100,27.049999
2015-11-09,28.07,28.209999,26.68,27.09,25624300,27.09
2015-11-06,28.58,28.700001,28.049999,28.280001,13592100,28.280001
2015-11-05,29.469999,29.549999,28.450001,28.66,15525300,28.66
2015-11-04,29.360001,30.15,29.23,29.360001,18787000,29.360001
2015-11-03,29.09,29.629999,29.040001,29.129999,16706000,29.129999
2015-11-02,28.540001,29.290001,28.049999,29.200001,18549700,29.200001
2015-10-30,29.129999,29.57,28.35,28.459999,21933100,28.459999
2015-10-29,30.58,30.700001,28.93,29.059999,33682800,29.059999
2015-10-28,28.129999,31.34,27.76,30.870001,88974900,30.870001
2015-10-27,31.02,31.870001,30.65,31.34,44502900,31.34
2015-10-26,30.629999,31.219999,30.48,30.889999,16787000,30.889999
2015-10-23,29.969999,30.719999,29.610001,30.280001,19855700,30.280001
2015-10-22,29.24,29.799999,28.74,29.15,17424000,29.15
2015-10-21,29.50,29.66,28.65,29.299999,30359000,29.299999
2015-10-20,30.940001,31.389999,30.41,30.91,15824400,30.91
2015-10-19,31.15,31.60,30.57,30.91,23958100,30.91
2015-10-16,30.08,31.40,29.360001,31.15,44564000,31.15
2015-10-15,29.459999,30.280001,29.01,29.709999,15838900,29.709999
2015-10-14,29.459999,29.82,28.379999,29.379999,27554400,29.379999
2015-10-13,29.549999,30.68,28.84,29.059999,45783200,29.059999
2015-10-12,30.299999,30.77,28.60,28.75,30619500,28.75
2015-10-09,30.90,31.41,30.280001,30.85,27453600,30.85
2015-10-08,29.57,31.50,29.030001,30.32,36431800,30.32
2015-10-07,28.35,29.950001,28.01,29.83,34460700,29.83
2015-10-06,28.16,28.40,26.75,27.620001,31294500,27.620001
2015-10-05,26.99,28.25,26.33,28.15,31012900,28.15
2015-10-02,24.50,26.48,24.34,26.309999,23542300,26.309999
2015-10-01,26.469999,26.84,24.65,24.68,30953500,24.68
2015-09-30,25.940001,27.33,25.879999,26.940001,25465000,26.940001
2015-09-29,25.23,25.76,24.92,25.59,13421600,25.59
2015-09-28,24.959999,25.610001,24.60,25.26,17452800,25.26
2015-09-25,26.84,26.91,25.139999,25.290001,14572000,25.290001
2015-09-24,26.51,26.639999,25.40,26.60,21349400,26.60
2015-09-23,26.969999,27.280001,26.58,26.790001,10840000,26.790001
2015-09-22,27.049999,27.48,26.620001,26.83,13461300,26.83
2015-09-21,27.98,28.09,27.190001,27.379999,10542000,27.379999
2015-09-18,27.040001,28.25,26.99,27.959999,17505300,27.959999
2015-09-17,27.540001,27.93,27.030001,27.41,13073200,27.41
2015-09-16,27.139999,28.00,27.00,27.75,13335400,27.75
2015-09-15,27.040001,27.549999,27.00,27.17,10166700,27.17
2015-09-14,27.209999,27.549999,26.799999,26.90,11564000,26.90
2015-09-11,27.629999,27.65,27.17,27.389999,8830100,27.389999
2015-09-10,27.07,27.83,26.950001,27.709999,11240300,27.709999
2015-09-09,27.17,27.85,26.42,27.18,19349900,27.18
2015-09-08,28.15,28.200001,27.01,27.18,19225500,27.18
2015-09-04,27.950001,28.549999,27.799999,28.15,13537900,28.15
2015-09-03,28.030001,29.00,27.809999,28.299999,21349200,28.299999
2015-09-02,27.469999,27.83,26.870001,27.82,14402000,27.82
2015-09-01,27.23,28.120001,26.77,27.030001,21163500,27.030001
2015-08-31,27.639999,28.49,27.35,27.790001,30752000,27.790001
2015-08-28,26.190001,26.93,26.059999,26.83,12426200,26.83
2015-08-27,25.440001,26.799999,25.24,26.459999,22493000,26.459999
2015-08-26,24.799999,25.290001,23.83,25.030001,20576600,25.030001
2015-08-25,26.290001,26.33,24.379999,24.379999,19918700,24.379999
2015-08-24,23.610001,26.23,21.01,25.17,30106400,25.17
2015-08-21,25.65,26.74,25.51,25.870001,23733200,25.870001
2015-08-20,27.15,27.48,25.92,26.00,25257800,26.00
2015-08-19,28.059999,28.09,27.16,27.610001,19964000,27.610001
2015-08-18,28.91,29.00,28.299999,28.299999,9662800,28.299999
2015-08-17,29.190001,29.34,28.93,29.059999,9557300,29.059999
2015-08-14,28.50,29.27,28.450001,29.059999,16716300,29.059999
2015-08-13,29.60,29.60,28.440001,28.540001,15004000,28.540001
2015-08-12,29.110001,29.50,28.51,29.389999,18513100,29.389999
2015-08-11,29.01,29.889999,28.530001,29.620001,27827600,29.620001
2015-08-10,28.09,29.629999,27.82,29.50,42547100,29.50
2015-08-07,27.799999,27.90,26.870001,27.040001,18392600,27.040001
2015-08-06,28.40,28.43,27.23,27.540001,27612200,27.540001
2015-08-05,29.41,29.50,28.43,28.48,21223300,28.48
2015-08-04,29.110001,29.90,28.90,29.34,21900300,29.34
2015-08-03,30.85,31.09,28.690001,29.27,46637100,29.27
2015-07-31,31.379999,31.620001,30.85,31.01,18150300,31.01
2015-07-30,31.10,31.83,31.049999,31.469999,29438800,31.469999
2015-07-29,32.59,33.240002,31.059999,31.24,92939900,31.24
2015-07-28,34.700001,36.669998,34.139999,36.540001,57688600,36.540001
2015-07-27,35.110001,35.150002,33.880001,34.700001,24629100,34.700001
2015-07-24,36.41,36.41,35.299999,35.419998,13000800,35.419998
2015-07-23,36.00,36.73,35.950001,36.189999,10407800,36.189999
2015-07-22,36.23,36.369999,35.509998,36.09,11772300,36.09
2015-07-21,35.82,36.75,35.709999,36.630001,12536200,36.630001
2015-07-20,35.75,35.990002,35.209999,35.810001,9889700,35.810001
2015-07-17,36.459999,36.66,35.599998,35.669998,12838500,35.669998
2015-07-16,35.889999,36.450001,35.75,36.099998,11367700,36.099998
2015-07-15,36.66,37.09,35.549999,35.66,18296800,35.66
2015-07-14,35.779999,38.82,35.77,36.720001,50102500,36.720001
2015-07-13,34.990002,36.139999,34.75,35.779999,17118200,35.779999
2015-07-10,34.68,35.119999,34.459999,34.91,10639700,34.91
2015-07-09,35.169998,35.43,34.310001,34.360001,14099300,34.360001
2015-07-08,35.41,36.049999,34.669998,34.759998,15522300,34.759998
2015-07-07,35.349998,35.720001,34.549999,35.52,14203200,35.52
2015-07-06,35.169998,35.689999,35.00,35.43,11325400,35.43
2015-07-02,35.400002,35.970001,35.099998,35.720001,17664000,35.720001
2015-07-01,36.049999,36.110001,35.240002,35.400002,23674600,35.400002
2015-06-30,34.50,36.419998,34.439999,36.220001,26095600,36.220001
2015-06-29,34.470001,35.09,34.150002,34.209999,25220700,34.209999
2015-06-26,34.970001,35.330002,34.669998,35.259998,17388000,35.259998
2015-06-25,35.360001,35.360001,34.970001,35.169998,10756800,35.169998
2015-06-24,35.400002,35.75,35.099998,35.169998,13021000,35.169998
2015-06-23,35.779999,36.200001,34.959999,35.369999,25891400,35.369999
2015-06-22,35.950001,36.00,35.34,35.549999,21456400,35.549999
2015-06-19,34.970001,36.279999,34.849998,35.860001,33674900,35.860001
2015-06-18,34.630001,35.040001,34.450001,34.66,19447100,34.66
2015-06-17,34.990002,35.119999,34.169998,34.689999,27278500,34.689999
2015-06-16,34.23,35.200001,33.509998,34.82,49856100,34.82
2015-06-15,35.240002,35.259998,34.310001,34.669998,32932100,34.669998
2015-06-12,36.900002,37.25,35.549999,35.900002,60914400,35.900002
2015-06-11,35.919998,36.169998,35.790001,35.84,20547000,35.84
2015-06-10,36.009998,36.169998,35.599998,35.849998,12634800,35.849998
2015-06-09,36.50,36.50,35.57,35.880001,14034500,35.880001
2015-06-08,36.91,36.98,36.41,36.459999,11767100,36.459999
2015-06-05,36.790001,37.23,36.650002,37.00,11854300,37.00
2015-06-04,37.169998,37.790001,36.509998,36.709999,23762900,36.709999
2015-06-03,36.509998,37.169998,36.48,37.00,14023500,37.00
2015-06-02,36.450001,36.599998,36.16,36.400002,13128300,36.400002
2015-06-01,36.689999,36.830002,36.43,36.630001,10008300,36.630001
2015-05-29,37.049999,37.07,36.529999,36.669998,16849100,36.669998
2015-05-28,36.490002,37.330002,36.369999,36.830002,17912100,36.830002
2015-05-27,36.50,36.650002,36.099998,36.41,14463600,36.41
2015-05-26,36.669998,36.830002,36.369999,36.509998,13068500,36.509998
2015-05-22,36.700001,36.98,36.57,36.599998,9861800,36.599998
2015-05-21,36.810001,36.939999,36.389999,36.68,17447700,36.68
2015-05-20,37.490002,37.939999,36.540001,36.779999,23404500,36.779999
2015-05-19,37.139999,37.880001,36.900002,37.50,26942000,37.50
2015-05-18,37.099998,37.57,36.900002,37.279999,11237300,37.279999
2015-05-15,37.360001,37.799999,37.00,37.099998,16799100,37.099998
2015-05-14,37.93,38.09,37.27,37.330002,14259600,37.330002
2015-05-13,37.66,38.200001,37.529999,37.720001,14075300,37.720001
2015-05-12,37.290001,37.799999,37.060001,37.48,11792900,37.48
2015-05-11,37.580002,37.860001,37.200001,37.310001,12329500,37.310001
2015-05-08,38.02,38.200001,37.549999,37.59,14395800,37.59
2015-05-07,37.240002,37.880001,36.950001,37.709999,21258800,37.709999
2015-05-06,37.689999,37.779999,36.52,37.259998,29107900,37.259998
2015-05-05,38.00,38.610001,37.360001,37.419998,22605000,37.419998
2015-05-04,38.720001,38.959999,37.549999,37.880001,27622500,37.880001
2015-05-01,39.189999,39.240002,37.369999,37.84,37785500,37.84
2015-04-30,39.279999,39.740002,38.48,38.959999,46651500,38.959999
2015-04-29,40.209999,41.09,38.07,38.490002,120488600,38.490002
2015-04-28,52.16,52.220001,38.380001,42.27,77336600,42.27
2015-04-27,50.84,52.540001,50.82,51.66,23991900,51.66
2015-04-24,51.849998,51.959999,50.240002,50.82,14896900,50.82
2015-04-23,51.869999,52.200001,51.220001,51.41,11490400,51.41
2015-04-22,51.48,52.09,51.32,51.73,11479500,51.73
2015-04-21,51.68,51.849998,51.099998,51.32,8461300,51.32
2015-04-20,51.07,51.48,50.509998,51.400002,11004500,51.400002
