AAPL,date,closing,avg
GOOG,Thu Jan 07 00:00:00 CET 2016,726.390015,716.4821317049181
AAPL,Thu Jan 07 00:00:00 CET 2016,726.390015,716.4821317049181
GOOG,Wed Jan 06 00:00:00 CET 2016,743.619995,716.9198391774194
AAPL,Wed Jan 06 00:00:00 CET 2016,743.619995,716.9198391774194
GOOG,Tue Jan 05 00:00:00 CET 2016,742.580017,717.3271435873016
AAPL,Tue Jan 05 00:00:00 CET 2016,742.580017,717.3271435873016
GOOG,Mon Jan 04 00:00:00 CET 2016,741.840027,717.710157390625
AAPL,Mon Jan 04 00:00:00 CET 2016,741.840027,717.710157390625
GOOG,Thu Dec 31 00:00:00 CET 2015,758.880005,718.3435396615384
AAPL,Thu Dec 31 00:00:00 CET 2015,758.880005,718.3435396615384
GOOG,Wed Dec 30 00:00:00 CET 2015,771.0,719.1413648181818
AAPL,Wed Dec 30 00:00:00 CET 2015,771.0,719.1413648181818
GOOG,Tue Dec 29 00:00:00 CET 2015,776.599976,719.9989560298507
AAPL,Tue Dec 29 00:00:00 CET 2015,776.599976,719.9989560298507
GOOG,Mon Dec 28 00:00:00 CET 2015,762.51001,720.6241185882352
AAPL,Mon Dec 28 00:00:00 CET 2015,762.51001,720.6241185882352
GOOG,Thu Dec 24 00:00:00 CET 2015,748.400024,721.0266679420289
AAPL,Thu Dec 24 00:00:00 CET 2015,748.400024,721.0266679420289
GOOG,Wed Dec 23 00:00:00 CET 2015,750.309998,721.4450012285713
AAPL,Wed Dec 23 00:00:00 CET 2015,750.309998,721.4450012285713
GOOG,Tue Dec 22 00:00:00 CET 2015,750.0,721.847184309859
AAPL,Tue Dec 22 00:00:00 CET 2015,750.0,721.847184309859
GOOG,Mon Dec 21 00:00:00 CET 2015,747.77002,722.2072236944445
AAPL,Mon Dec 21 00:00:00 CET 2015,747.77002,722.2072236944445
GOOG,Fri Dec 18 00:00:00 CET 2015,739.309998,722.4415082739725
AAPL,Fri Dec 18 00:00:00 CET 2015,739.309998,722.4415082739725
GOOG,Thu Dec 17 00:00:00 CET 2015,749.429993,722.8062175270269
AAPL,Thu Dec 17 00:00:00 CET 2015,749.429993,722.8062175270269
GOOG,Wed Dec 16 00:00:00 CET 2015,758.090027,723.2766683199999
AAPL,Wed Dec 16 00:00:00 CET 2015,758.090027,723.2766683199999
GOOG,Tue Dec 15 00:00:00 CET 2015,743.400024,723.5414493157894
AAPL,Tue Dec 15 00:00:00 CET 2015,743.400024,723.5414493157894
GOOG,Mon Dec 14 00:00:00 CET 2015,747.77002,723.856106077922
AAPL,Mon Dec 14 00:00:00 CET 2015,747.77002,723.856106077922
GOOG,Fri Dec 11 00:00:00 CET 2015,738.869995,724.0485918333333
AAPL,Fri Dec 11 00:00:00 CET 2015,738.869995,724.0485918333333
GOOG,Thu Dec 10 00:00:00 CET 2015,749.460022,724.370255506329
AAPL,Thu Dec 10 00:00:00 CET 2015,749.460022,724.370255506329
GOOG,Wed Dec 09 00:00:00 CET 2015,751.609985,724.710752125
AAPL,Wed Dec 09 00:00:00 CET 2015,751.609985,724.710752125
GOOG,Tue Dec 08 00:00:00 CET 2015,762.369995,725.1756810493828
AAPL,Tue Dec 08 00:00:00 CET 2015,762.369995,725.1756810493828
GOOG,Mon Dec 07 00:00:00 CET 2015,763.25,725.6400020121952
AAPL,Mon Dec 07 00:00:00 CET 2015,763.25,725.6400020121952
GOOG,Fri Dec 04 00:00:00 CET 2015,766.809998,726.136026060241
AAPL,Fri Dec 04 00:00:00 CET 2015,766.809998,726.136026060241
GOOG,Thu Dec 03 00:00:00 CET 2015,752.539978,726.4503588214286
AAPL,Thu Dec 03 00:00:00 CET 2015,752.539978,726.4503588214286
GOOG,Wed Dec 02 00:00:00 CET 2015,762.380005,726.8730605411764
AAPL,Wed Dec 02 00:00:00 CET 2015,762.380005,726.8730605411764
GOOG,Tue Dec 01 00:00:00 CET 2015,767.039978,727.3401177209303
AAPL,Tue Dec 01 00:00:00 CET 2015,767.039978,727.3401177209303
GOOG,Mon Nov 30 00:00:00 CET 2015,742.599976,727.5155183908046
AAPL,Mon Nov 30 00:00:00 CET 2015,742.599976,727.5155183908046
GOOG,Fri Nov 27 00:00:00 CET 2015,750.26001,727.7739785227272
AAPL,Fri Nov 27 00:00:00 CET 2015,750.26001,727.7739785227272
GOOG,Wed Nov 25 00:00:00 CET 2015,748.150024,728.0029228539325
AAPL,Wed Nov 25 00:00:00 CET 2015,748.150024,728.0029228539325
GOOG,Tue Nov 24 00:00:00 CET 2015,748.280029,728.2282240333333
AAPL,Tue Nov 24 00:00:00 CET 2015,748.280029,728.2282240333333
GOOG,Mon Nov 23 00:00:00 CET 2015,755.97998,728.5331883846154
AAPL,Mon Nov 23 00:00:00 CET 2015,755.97998,728.5331883846154
GOOG,Fri Nov 20 00:00:00 CET 2015,756.599976,728.8382621630435
